Fecha,Ticker,Empresa,Score,RSI,Sentimiento,Señal,Momento
2025-12-30,SNPS,"Synopsys, Inc.",35,63.1,0.0,🔴 No comprar,Baja prioridad
2025-12-30,ROST,"Ross Stores, Inc.",35,62.7,0.0,🔴 No comprar,Baja prioridad
2025-12-30,REGN,"Regeneron Pharmaceuticals, Inc.",35,65.3,0.0,🔴 No comprar,Baja prioridad
2025-12-30,KLAC,KLA Corporation,35,58.4,0.0,🔴 No comprar,Baja prioridad
2025-12-30,MNST,Monster Beverage Corporation,35,67.0,0.0,🔴 No comprar,Baja prioridad
2025-12-30,GOOGL,Alphabet Inc.,35,57.8,0.0,🔴 No comprar,Baja prioridad
2025-12-30,EA,Electronic Arts Inc.,35,63.7,0.0,🔴 No comprar,Baja prioridad
2025-12-30,GEHC,GE HealthCare Technologies Inc.,35,56.4,0.0,🔴 No comprar,Baja prioridad
2025-12-30,DXCM,"DexCom, Inc.",35,59.2,0.0,🔴 No comprar,Baja prioridad
2025-12-30,EPAM,"EPAM Systems, Inc.",35,68.7,0.0,🔴 No comprar,Baja prioridad
2025-12-30,GILD,"Gilead Sciences, Inc.",35,57.0,0.0,🔴 No comprar,Baja prioridad
2025-12-30,CCEP,Coca-Cola Europacific Partners ,35,55.4,0.0,🔴 No comprar,Baja prioridad
2025-12-30,AZN,Astrazeneca PLC,35,59.9,0.0,🔴 No comprar,Baja prioridad
2025-12-30,AMAT,"Applied Materials, Inc.",35,58.6,0.0,🔴 No comprar,Baja prioridad
2025-12-30,CSX,CSX Corporation,35,59.1,0.0,🔴 No comprar,Baja prioridad
2025-12-30,CMCSA,Comcast Corporation,35,62.5,0.0,🔴 No comprar,Baja prioridad
2025-12-30,CRM,"Salesforce, Inc.",35,65.8,0.0,🔴 No comprar,Baja prioridad
2025-12-30,BKNG,Booking Holdings Inc. Common St,35,64.8,0.0,🔴 No comprar,Baja prioridad
2025-12-30,ISRG,"Intuitive Surgical, Inc.",35,59.1,0.0,🔴 No comprar,Baja prioridad
2025-12-30,WDC,Western Digital Corporation,35,58.9,0.0,🔴 No comprar,Baja prioridad
2025-12-30,MAR,Marriott International,35,65.6,0.0,🔴 No comprar,Baja prioridad
2025-12-30,VRTX,Vertex Pharmaceuticals Incorpor,35,60.5,0.0,🔴 No comprar,Baja prioridad
2025-12-30,FTNT,"Fortinet, Inc.",30,46.6,0.0,🔴 No comprar,Baja prioridad
2025-12-30,BKR,Baker Hughes Company,30,40.0,0.0,🔴 No comprar,Baja prioridad
2025-12-30,KHC,The Kraft Heinz Company,30,46.0,0.0,🔴 No comprar,Baja prioridad
2025-12-30,CHTR,"Charter Communications, Inc.",30,50.0,0.0,🔴 No comprar,Baja prioridad
2025-12-30,TMUS,"T-Mobile US, Inc.",30,50.5,0.0,🔴 No comprar,Baja prioridad
2025-12-30,CSGP,"CoStar Group, Inc.",30,50.9,0.0,🔴 No comprar,Baja prioridad
2025-12-30,AEP,American Electric Power Company,25,45.5,0.0,🔴 No comprar,Baja prioridad
2025-12-30,ADP,"Automatic Data Processing, Inc.",25,50.2,0.0,🔴 No comprar,Baja prioridad
2025-12-30,ADSK,"Autodesk, Inc.",25,52.6,0.0,🔴 No comprar,Baja prioridad
2025-12-30,XEL,Xcel Energy Inc.,25,41.4,0.0,🔴 No comprar,Baja prioridad
2025-12-30,ROP,"Roper Technologies, Inc.",25,51.9,0.0,🔴 No comprar,Baja prioridad
2025-12-30,META,"Meta Platforms, Inc.",25,52.2,0.0,🔴 No comprar,Baja prioridad
2025-12-30,WDAY,"Workday, Inc.",25,47.7,0.0,🔴 No comprar,Baja prioridad
2025-12-30,AMD,"Advanced Micro Devices, Inc.",25,49.1,0.0,🔴 No comprar,Baja prioridad
2025-12-30,CPRT,"Copart, Inc.",25,48.2,0.0,🔴 No comprar,Baja prioridad
2025-12-30,CDNS,"Cadence Design Systems, Inc.",25,45.9,0.0,🔴 No comprar,Baja prioridad
2025-12-30,AXON,"Axon Enterprise, Inc.",25,51.5,0.0,🔴 No comprar,Baja prioridad
2025-12-30,COST,Costco Wholesale Corporation,25,42.3,0.0,🔴 No comprar,Baja prioridad
2025-12-30,TYL,"Tyler Technologies, Inc.",25,48.0,0.0,🔴 No comprar,Baja prioridad
2025-12-30,PANW,"Palo Alto Networks, Inc.",25,41.8,0.0,🔴 No comprar,Baja prioridad
2025-12-30,PTC,PTC Inc.,25,45.3,0.0,🔴 No comprar,Baja prioridad
2025-12-30,NTAP,"NetApp, Inc.",25,40.7,0.0,🔴 No comprar,Baja prioridad
2025-12-30,ORCL,Oracle Corporation,25,42.5,0.0,🔴 No comprar,Baja prioridad
2025-12-30,FFIV,"F5, Inc.",25,54.3,0.0,🔴 No comprar,Baja prioridad
2025-12-30,HON,Honeywell International Inc.,25,54.3,0.0,🔴 No comprar,Baja prioridad
2025-12-30,FAST,Fastenal Company,25,47.4,0.0,🔴 No comprar,Baja prioridad
2025-12-30,EXC,Exelon Corporation,25,41.9,0.0,🔴 No comprar,Baja prioridad
2025-12-30,GDDY,GoDaddy Inc.,25,46.7,0.0,🔴 No comprar,Baja prioridad
2025-12-30,DELL,Dell Technologies Inc.,25,43.2,0.0,🔴 No comprar,Baja prioridad
2025-12-30,MDLZ,"Mondelez International, Inc.",25,47.8,0.0,🔴 No comprar,Baja prioridad
2025-12-30,VRSN,"VeriSign, Inc.",25,46.6,0.0,🔴 No comprar,Baja prioridad
2025-12-30,TRI,Thomson Reuters Corp,25,45.4,0.0,🔴 No comprar,Baja prioridad
2025-12-30,TDY,Teledyne Technologies Incorpora,25,52.2,0.0,🔴 No comprar,Baja prioridad
2025-12-30,MSI,"Motorola Solutions, Inc.",25,50.3,0.0,🔴 No comprar,Baja prioridad
2025-12-30,MSFT,Microsoft Corporation,25,49.7,0.0,🔴 No comprar,Baja prioridad
2025-12-30,PAYX,"Paychex, Inc.",25,49.7,0.0,🔴 No comprar,Baja prioridad
2025-12-30,PDD,PDD Holdings Inc.,25,46.6,0.0,🔴 No comprar,Baja prioridad
2025-12-30,MELI,"MercadoLibre, Inc.",25,47.8,0.0,🔴 No comprar,Baja prioridad
2025-12-30,PYPL,"PayPal Holdings, Inc.",20,39.2,0.0,🔴 No comprar,Baja prioridad
2025-12-30,ZBRA,Zebra Technologies Corporation,20,37.0,0.0,🔴 No comprar,Baja prioridad
2025-12-30,HPQ,HP Inc.,20,35.3,0.0,🔴 No comprar,Baja prioridad
2025-12-30,SMCI,"Super Micro Computer, Inc.",20,33.7,0.0,🔴 No comprar,Baja prioridad
2025-12-30,ABNB,"Airbnb, Inc.",15,74.3,0.0,🔴 No comprar,Baja prioridad
2025-12-30,ALNY,"Alnylam Pharmaceuticals, Inc.",15,38.2,0.0,🔴 No comprar,Baja prioridad
2025-12-30,CRWD,"CrowdStrike Holdings, Inc.",15,38.1,0.0,🔴 No comprar,Baja prioridad
2025-12-30,MSTR,Strategy Inc,15,32.5,0.0,🔴 No comprar,Baja prioridad
2025-12-30,SWKS,"Skyworks Solutions, Inc.",15,37.1,0.0,🔴 No comprar,Baja prioridad
2025-12-30,NOW,"ServiceNow, Inc.",15,37.7,0.0,🔴 No comprar,Baja prioridad
2025-12-30,ORLY,"O'Reilly Automotive, Inc.",15,34.9,0.0,🔴 No comprar,Baja prioridad
2025-12-30,CTSH,Cognizant Technology Solutions ,15,75.5,0.0,🔴 No comprar,Baja prioridad
2025-12-30,DDOG,"Datadog, Inc.",15,31.8,0.0,🔴 No comprar,Baja prioridad
2025-12-30,CDW,CDW Corporation,15,37.5,0.0,🔴 No comprar,Baja prioridad
2025-12-30,NFLX,"Netflix, Inc.",15,35.3,0.0,🔴 No comprar,Baja prioridad
2025-12-30,ARM,Arm Holdings plc,0,22.0,0.0,🔴 No comprar,Baja prioridad
2025-12-30,ANET,"Arista Networks, Inc.",0,56.1,0.0,🔴 No comprar,Baja prioridad
2025-12-30,CTAS,Cintas Corporation,0,57.9,0.0,🔴 No comprar,Baja prioridad
2025-12-30,DASH,"DoorDash, Inc.",0,55.2,0.0,🔴 No comprar,Baja prioridad
2025-12-30,NVDA,NVIDIA Corporation,0,55.7,0.0,🔴 No comprar,Baja prioridad
2025-12-30,LIN,Linde plc,0,60.8,0.0,🔴 No comprar,Baja prioridad
2025-12-30,VRSK,"Verisk Analytics, Inc.",0,58.7,0.0,🔴 No comprar,Baja prioridad
2025-12-30,ZS,"Zscaler, Inc.",0,29.1,0.0,🔴 No comprar,Baja prioridad
2026-01-13,IT,"Gartner, Inc.",75,48.1,0.0,🟢 Comprar,Alta prioridad
2026-01-13,GLW,Corning Incorporated,73,50.9,0.0,🟢 Comprar,Alta prioridad
2026-01-13,TRMB,Trimble Inc.,68,52.6,0.0,🟡 Vigilar,Media prioridad
2026-01-13,HPE,Hewlett Packard Enterprise Comp,60,35.3,0.0,🟡 Vigilar,Media prioridad
2026-01-13,KEYS,Keysight Technologies Inc.,35,57.5,0.0,🔴 No comprar,Baja prioridad
2026-01-13,IBM,International Business Machines,35,60.2,0.0,🔴 No comprar,Baja prioridad
2026-01-13,JBL,Jabil Inc.,35,55.2,0.0,🔴 No comprar,Baja prioridad
2026-01-13,TER,TER,35,67.2,0.0,🔴 No comprar,Baja prioridad
2026-01-13,TEL,TEL,35,55.9,0.0,🔴 No comprar,Baja prioridad
2026-01-13,ON,ON,35,57.5,0.0,🔴 No comprar,Baja prioridad
2026-01-13,TYL,TYL,25,42.4,0.0,🔴 No comprar,Baja prioridad
2026-01-13,NTAP,NTAP,25,43.7,0.0,🔴 No comprar,Baja prioridad
2026-01-13,ORCL,ORCL,25,53.7,0.0,🔴 No comprar,Baja prioridad
2026-01-13,PTC,PTC,25,40.1,0.0,🔴 No comprar,Baja prioridad
2026-01-13,GEN,GEN,20,47.7,0.0,🔴 No comprar,Baja prioridad
2026-01-13,SWKS,SWKS,20,31.0,0.0,🔴 No comprar,Baja prioridad
